,area,build_year,price,number_of_rooms,level,price_average
211,72.0,1996.2546383436409,187000.0,3.0,1,193431.84020618556
212,72.0,1996.2546383436409,185000.0,3.0,1,193431.84020618556
213,91.0,1956.0,239500.0,3.0,5,193431.84020618556
214,75.86,2021.0,167000.0,3.0,6,193431.84020618556
215,70.0,1996.2546383436409,161000.0,3.0,1,193431.84020618556
216,79.64,1996.2546383436409,219010.0,3.0,0,193431.84020618556
217,57.74,1996.2546383436409,152434.0,2.0,1,193431.84020618556
218,79.95,1996.2546383436409,202274.0,3.0,1,193431.84020618556
219,121.0,2021.0,303000.0,4.0,2,193431.84020618556
220,121.0,2021.0,303000.0,4.0,3,193431.84020618556
221,168.0,1996.2546383436409,450000.0,5.0,1,193431.84020618556
222,74.0,1996.2546383436409,155000.0,3.0,4,193431.84020618556
223,86.0,1996.2546383436409,280000.0,4.0,2,193431.84020618556
224,78.0,1996.2546383436409,195000.0,3.0,1,193431.84020618556
225,63.0,1996.2546383436409,126000.0,3.0,0,193431.84020618556
226,102.0,1996.2546383436409,250000.0,3.0,5,193431.84020618556
227,56.0,1996.2546383436409,139000.0,2.0,2,193431.84020618556
228,95.0,2020.0,303360.0,4.0,2,193431.84020618556
229,171.0,1996.2546383436409,560000.0,5.0,4,193431.84020618556
230,68.0,1985.0,130000.0,4.0,5,193431.84020618556
231,66.0,1996.2546383436409,150000.0,3.0,1,193431.84020618556
232,71.0,1996.2546383436409,135000.0,3.0,3,193431.84020618556
233,71.0,1996.2546383436409,135000.0,3.0,3,193431.84020618556
234,84.0,1996.2546383436409,220000.0,4.0,3,193431.84020618556
235,101.0,1996.2546383436409,300000.0,4.0,3,193431.84020618556
236,40.0,1996.2546383436409,108000.0,2.8452239216045427,0,193431.84020618556
237,62.0,1996.2546383436409,150000.0,3.0,3,193431.84020618556
238,93.0,1996.2546383436409,220000.0,4.0,1,193431.84020618556
239,64.0,1996.2546383436409,185000.0,2.0,2,193431.84020618556
240,103.0,2013.0,269000.0,3.0,5,193431.84020618556
241,60.0,1996.2546383436409,159100.0,3.0,1,193431.84020618556
242,61.0,1996.2546383436409,139900.0,3.0,4,193431.84020618556
243,103.0,1996.2546383436409,198000.0,3.0,4,193431.84020618556
244,60.0,1996.2546383436409,130000.0,3.0,2,193431.84020618556
245,95.0,1996.2546383436409,235000.0,3.0,2,193431.84020618556
246,55.0,1996.2546383436409,135000.0,2.0,1,193431.84020618556
247,105.0,1996.2546383436409,319000.0,5.0,5,193431.84020618556
248,105.0,1996.2546383436409,399000.0,5.0,4,193431.84020618556
249,132.0,1996.2546383436409,300000.0,3.0,8,193431.84020618556
250,109.0,1996.2546383436409,196000.0,4.0,1,193431.84020618556
251,48.0,1996.2546383436409,130000.0,2.0,4,193431.84020618556
252,69.0,2012.0,199000.0,3.0,1,193431.84020618556
253,41.0,1996.2546383436409,130000.0,2.0,1,193431.84020618556
254,120.0,1996.2546383436409,295000.0,3.0,1,193431.84020618556
255,63.0,1996.2546383436409,161000.0,3.0,1,193431.84020618556
256,60.0,1996.2546383436409,118900.0,2.0,2,193431.84020618556
257,133.0,1935.0,400000.0,4.0,1,193431.84020618556
258,86.0,1996.2546383436409,159100.0,4.0,3,193431.84020618556
259,64.0,1968.0,185000.0,2.0,2,193431.84020618556
260,90.0,1938.0,300000.0,4.0,3,193431.84020618556
261,92.0,1996.2546383436409,245000.0,3.0,3,193431.84020618556
262,137.0,2021.0,218976.0,3.0,0,193431.84020618556
263,75.0,2013.0,219000.0,2.0,3,193431.84020618556
264,100.0,2010.0,234700.0,4.0,3,193431.84020618556
265,67.0,1996.2546383436409,168000.0,3.0,1,193431.84020618556
266,66.0,1996.2546383436409,212100.0,2.0,2,193431.84020618556
267,171.0,1996.2546383436409,560000.0,5.0,4,193431.84020618556
268,64.0,1969.0,185000.0,2.0,2,193431.84020618556
269,169.0,1996.2546383436409,340000.0,4.0,4,193431.84020618556
270,61.0,1996.2546383436409,124900.0,3.0,0,193431.84020618556
